id,gid,x,y,dir_x,dir_y,radius,time
0,0,208.522934,9.328407,0.190698,0.369515,2.000000,43.750000
1,0,170.578323,125.624161,0.337548,0.300343,2.000000,43.750000
2,0,70.483673,198.455032,0.050125,0.063624,2.000000,43.750000
3,0,-52.631744,199.005371,0.202477,0.245579,2.000000,43.750000
4,0,-152.401993,126.168579,0.296636,0.181293,2.000000,43.750000
5,0,-190.396301,9.155555,0.040681,0.313511,2.000000,43.750000
6,0,-153.188599,-108.685936,0.123539,0.215144,2.000000,43.750000
7,0,-53.035347,-181.020508,0.069122,0.047686,2.000000,43.750000
8,0,70.474312,-181.081802,0.265620,0.391646,2.000000,43.750000
9,0,170.820267,-108.984779,0.227725,0.172822,2.000000,43.750000
0,0,208.533798,9.358287,0.043466,0.119517,2.000000,44.000000
1,0,170.662323,125.692200,0.335976,0.272159,2.000000,44.000000
2,0,70.504463,198.528137,0.083147,0.292407,2.000000,44.000000
3,0,-52.581673,199.057602,0.200293,0.208938,2.000000,44.000000
4,0,-152.315384,126.224586,0.346438,0.224040,2.000000,44.000000
5,0,-190.326355,9.194288,0.279764,0.154932,2.000000,44.000000
6,0,-153.143784,-108.669998,0.179276,0.063737,2.000000,44.000000
7,0,-52.982948,-180.921722,0.209594,0.395151,2.000000,44.000000
8,0,70.476379,-181.046707,0.008276,0.140383,2.000000,44.000000
9,0,170.846283,-108.978767,0.104051,0.024051,2.000000,44.000000
0,0,208.547211,9.453872,0.053651,0.382340,2.000000,44.250000
1,0,170.716522,125.721123,0.216826,0.115697,2.000000,44.250000
2,0,70.590256,198.589249,0.343185,0.244440,2.000000,44.250000
3,0,-52.522041,199.061249,0.238533,0.014565,2.000000,44.250000
4,0,-152.233582,126.315529,0.327223,0.363767,2.000000,44.250000
5,0,-190.247696,9.206205,0.314633,0.047669,2.000000,44.250000
6,0,-153.141266,-108.598442,0.010093,0.286218,2.000000,44.250000
7,0,-52.977192,-180.827850,0.023023,0.375465,2.000000,44.250000
8,0,70.559853,-180.948593,0.333890,0.392450,2.000000,44.250000
9,0,170.888321,-108.949539,0.168143,0.116926,2.000000,44.250000
0,0,208.629471,9.515137,0.329054,0.245062,2.000000,44.500000
1,0,170.743576,125.725578,0.108199,0.017814,2.000000,44.500000
2,0,70.632111,198.642731,0.167433,0.213951,2.000000,44.500000
3,0,-52.435390,199.075089,0.346597,0.055381,2.000000,44.500000
4,0,-152.149277,126.345284,0.337217,0.119009,2.000000,44.500000
5,0,-190.185944,9.259441,0.246994,0.212946,2.000000,44.500000
6,0,-153.133392,-108.533920,0.031499,0.258075,2.000000,44.500000
7,0,-52.935249,-180.819199,0.167773,0.034595,2.000000,44.500000
8,0,70.569191,-180.850983,0.037354,0.390423,2.000000,44.500000
9,0,170.987106,-108.874565,0.395137,0.299907,2.000000,44.500000
0,0,208.667969,9.611030,0.153987,0.383570,2.000000,44.750000
1,0,170.748489,125.817513,0.019636,0.367738,2.000000,44.750000
2,0,70.658531,198.739334,0.105685,0.386416,2.000000,44.750000
3,0,-52.371735,199.133560,0.254623,0.233899,2.000000,44.750000
4,0,-152.106216,126.372772,0.172256,0.109946,2.000000,44.750000
5,0,-190.154846,9.269099,0.124377,0.038633,2.000000,44.750000
6,0,-153.088074,-108.528801,0.181261,0.020473,2.000000,44.750000
7,0,-52.908047,-180.799164,0.108807,0.080144,2.000000,44.750000
8,0,70.623787,-180.787796,0.218369,0.252730,2.000000,44.750000
9,0,171.025131,-108.778549,0.152092,0.384060,2.000000,44.750000
0,0,208.696442,9.644295,0.113918,0.133061,2.000000,45.000000
1,0,170.769775,125.819130,0.085136,0.006475,2.000000,45.000000
2,0,70.723221,198.768768,0.258764,0.117708,2.000000,45.000000
3,0,-52.314034,199.205597,0.230799,0.288151,2.000000,45.000000
4,0,-152.081238,126.418182,0.099896,0.181647,2.000000,45.000000
5,0,-190.148041,9.368512,0.027195,0.397653,2.000000,45.000000
6,0,-153.024628,-108.445938,0.253790,0.331463,2.000000,45.000000
7,0,-52.831089,-180.732315,0.307835,0.267407,2.000000,45.000000
8,0,70.692383,-180.713058,0.274369,0.298947,2.000000,45.000000
9,0,171.116486,-108.679459,0.365433,0.396364,2.000000,45.000000
0,0,208.726212,9.700955,0.119080,0.226643,2.000000,45.250000
1,0,170.805984,125.868271,0.144811,0.196553,2.000000,45.250000
2,0,70.757805,198.856674,0.138337,0.351615,2.000000,45.250000
3,0,-52.250317,199.231354,0.254864,0.103015,2.000000,45.250000
4,0,-151.988937,126.440582,0.369176,0.089585,2.000000,45.250000
5,0,-190.079712,9.406488,0.273326,0.151906,2.000000,45.250000
6,0,-152.968674,-108.417961,0.223786,0.111896,2.000000,45.250000
7,0,-52.829479,-180.695801,0.006440,0.146035,2.000000,45.250000
